,protein_id,protein_name,hgnc_symbol
1,0,A0AUZ9,KANSL1L
2,1,A1A4Y4,IRGM
3,2,A1L3X0,ELOVL7
4,3,A2A288,ZC3H12D
5,4,A2IDD5,CCDC78
6,5,A2RU49,HYKK
7,6,A4D126,CRPPA
8,7,A5PKW4,PSD
9,8,A6BM72,MEGF11
10,9,A6NC98,CCDC88B
11,10,A6NCL1,GMNC
12,11,A6NDD5,SYNDIG1L
13,12,A6NKT7,RGPD3
14,13,A6NLJ0,C2CD4B
15,14,A7XYQ1,SOBP
16,15,A8MPY1,GABRR3
17,16,A8TX70,COL6A5
18,17,B2RNN3,C1QTNF9B
19,18,B2RXF5,ZBTB42
20,19,C9JR72,KBTBD13
21,20,D6RB81,NA
22,21,E5RQL4,FTCDNL1
23,22,F1T0I5,NA
24,23,F5HC79,NA
25,24,F5HCU8,NA
26,25,F5HGI9,NA
27,26,H3BUU9,NA
28,27,I6TLU5,NA
29,28,O00165,HAX1
30,29,O00170,AIP
31,30,O00180,KCNK1
32,31,O00204,SULT2B1
33,32,O00206,TLR4
34,33,O00213,APBB1
35,34,O00217,NDUFS8
36,35,O00220,TNFRSF10A
37,36,O00221,NFKBIE
38,37,O00222,GRM8
39,38,O00238,BMPR1B
40,39,O00244,ATOX1
41,40,O00253,AGRP
42,41,O00255,MEN1
43,42,O00267,SUPT5H
44,43,O00291,HIP1
45,44,O00300,TNFRSF11B
46,45,O00305,CACNB4
47,46,O00327,BMAL1
48,47,O00329,PIK3CD
49,48,O00330,PDHX
50,49,O00337,SLC28A1
51,50,O00341,SLC1A7
52,51,O00358,FOXE1
53,52,O00408,PDE2A
54,53,O00411,POLRMT
55,54,O00423,EML1
56,55,O00425,IGF2BP3
57,56,O00429,DNM1L
58,57,O00442,RTCA
59,58,O00444,PLK4
60,59,O00459,PIK3R2
61,60,O00469,PLOD2
62,61,O00483,NDUFA4
63,62,O00519,FAAH
64,63,O00534,VWA5A
65,64,O00555,CACNA1A
66,65,O00559,EBAG9
67,66,O00591,GABRP
68,67,O00748,CES2
69,68,O00750,PIK3C2B
70,69,O00764,PDXK
71,70,O14497,ARID1A
72,71,O14521,SDHD
73,72,O14556,GAPDHS
74,73,O14561,NDUFAB1
75,74,O14569,CYB561D2_ENSG00000114395
76,75,O14578,CIT
77,76,O14594,NCAN
78,77,O14618,CCS
79,78,O14639,ABLIM1
80,79,O14646,CHD1
81,80,O14647,CHD2
82,81,O14649,KCNK3
83,82,O14653,GOSR2
84,83,O14656,TOR1A
85,84,O14668,PRRG1
86,85,O14669,PRRG2
87,86,O14715,RGPD8
88,87,O14730,RIOK3
89,88,O14746,TERT
90,89,O14757,CHEK1
91,90,O14763,TNFRSF10B
92,91,O14764,GABRD
93,92,O14788,TNFSF11
94,93,O14791,APOL1
95,94,O14798,TNFRSF10C
96,95,O14827,RASGRF2
97,96,O14832,PHYH
98,97,O14836,TNFRSF13B
99,98,O14841,OPLAH
100,99,O14842,FFAR1
101,100,O14874,BCKDK
102,101,O14920,IKBKB
103,102,O14931,NCR3
104,103,O14936,CASK
105,104,O14958,CASQ2
106,105,O14964,HGS
107,106,O14965,AURKA
108,107,O14976,GAK
109,108,O14979,HNRNPDL
110,109,O14980,XPO1
111,110,O15055,PER2
112,111,O15067,PFAS
113,112,O15075,DCLK1
114,113,O15084,ANKRD28
115,114,O15105,SMAD7
116,115,O15111,CHUK
117,116,O15118,NPC1
118,117,O15120,AGPAT2
119,118,O15143,ARPC1B
120,119,O15144,ARPC2
121,120,O15145,ARPC3
122,121,O15146,MUSK
123,122,O15156,ZBTB7B
124,123,O15160,POLR1C
125,124,O15164,TRIM24
126,125,O15169,AXIN1
127,126,O15178,TBXT
128,127,O15197,NA
129,128,O15204,ADAMDEC1
130,129,O15209,ZBTB22
131,130,O15239,NDUFA1
132,131,O15244,SLC22A2
133,132,O15245,SLC22A1
134,133,O15264,MAPK13
135,134,O15269,SPTLC1
136,135,O15270,SPTLC2
137,136,O15273,TCAP
138,137,O15297,PPM1D
139,138,O15304,SIVA1
140,139,O15350,TP73
141,140,O15379,HDAC3
142,141,O15381,NVL
143,142,O15382,BCAT2
144,143,O15389,SIGLEC5_ENSG00000105501
145,144,O15392,BIRC5
146,145,O15399,GRIN2D
147,146,O15405,TOX3
148,147,O15427,SLC16A3
149,148,O15431,SLC31A1
150,149,O15432,SLC31A2
151,150,O15438,ABCC3
152,151,O15439,ABCC4
