disease_id,disease_name
0,MIM102578
1,MIM102670
2,MIM103580
3,MIM103780
4,MIM104225
5,MIM104300
6,MIM104310
7,MIM104615
8,MIM104775
9,MIM104776
10,MIM105120
11,MIM105200
12,MIM105210
13,MIM105250
14,MIM105400
15,MIM105500
16,MIM105550
17,MIM105590
18,MIM106100
19,MIM106165
20,MIM106180
21,MIM107450
22,MIM107470
23,MIM107670
24,MIM107680
25,MIM107690
26,MIM107710
27,MIM107730
28,MIM107740
29,MIM107741
30,MIM107760
31,MIM107770
32,MIM107930
33,MIM108355
34,MIM108900
35,MIM109545
36,MIM109565
37,MIM109770
38,MIM109800
39,MIM111690
40,MIM111730
41,MIM113811
42,MIM114078
43,MIM114085
44,MIM114204
45,MIM114205
46,MIM114206
47,MIM114207
48,MIM114208
49,MIM114209
50,MIM114480
51,MIM114500
52,MIM114550
53,MIM114890
54,MIM115195
55,MIM115196
56,MIM115197
57,MIM115210
58,MIM115700
59,MIM116200
60,MIM116700
61,MIM116800
62,MIM116899
63,MIM116940
64,MIM116953
65,MIM118300
66,MIM118700
67,MIM120070
68,MIM120090
69,MIM120110
70,MIM120120
71,MIM120130
72,MIM120131
73,MIM120140
74,MIM120150
75,MIM120160
76,MIM120165
77,MIM120180
78,MIM120190
79,MIM120210
80,MIM120215
81,MIM120216
82,MIM120220
83,MIM120240
84,MIM120250
85,MIM120251
86,MIM120252
87,MIM120260
88,MIM120270
89,MIM120280
90,MIM120290
91,MIM120320
92,MIM120324
93,MIM120325
94,MIM120326
95,MIM120328
96,MIM120350
97,MIM120420
98,MIM121200
99,MIM121201
100,MIM122559
101,MIM123805
102,MIM123810
103,MIM123828
104,MIM123829
105,MIM123831
106,MIM123832
107,MIM123833
108,MIM123834
109,MIM123835
110,MIM123836
111,MIM123837
112,MIM123838
113,MIM123940
114,MIM124097
115,MIM125700
116,MIM125800
117,MIM125853
118,MIM126150
119,MIM126200
120,MIM126335
121,MIM127750
122,MIM128100
123,MIM128230
124,MIM128235
125,MIM130160
126,MIM131220
127,MIM131235
128,MIM131240
129,MIM131241
130,MIM131242
131,MIM131243
132,MIM131244
133,MIM131440
134,MIM131530
135,MIM131550
136,MIM132000
137,MIM132900
138,MIM133170
139,MIM133239
140,MIM133430
141,MIM134610
142,MIM134637
143,MIM134638
144,MIM134820
145,MIM134830
146,MIM134850
147,MIM134920
148,MIM134921
149,MIM134934
150,MIM134935
151,MIM135300
152,MIM136350
153,MIM137140
154,MIM137141
155,MIM137142
156,MIM137143
157,MIM137160
158,MIM137161
159,MIM137162
160,MIM137163
161,MIM137164
162,MIM137166
163,MIM137190
164,MIM137192
165,MIM137207
166,MIM137215
167,MIM137245
168,MIM138700
169,MIM138720
170,MIM138850
171,MIM138960
172,MIM138970
173,MIM138981
174,MIM139190
175,MIM139240
176,MIM139250
177,MIM139350
178,MIM141500
179,MIM142200
180,MIM142230
181,MIM142250
182,MIM142461
183,MIM142610
184,MIM142695
185,MIM142703
186,MIM142705
187,MIM143024
188,MIM143054
189,MIM143055
190,MIM143089
191,MIM143100
192,MIM143465
193,MIM143880
194,MIM143890
195,MIM144010
196,MIM144250
197,MIM144700
198,MIM145000
199,MIM145001
200,MIM145500
201,MIM145505
202,MIM145600
203,MIM145750
204,MIM146200
205,MIM146255
206,MIM146520
207,MIM146730
208,MIM146731
209,MIM146732
210,MIM146733
211,MIM146734
212,MIM146735
213,MIM147183
214,MIM147265
215,MIM147267
216,MIM147280
217,MIM147370
218,MIM147521
219,MIM147522
220,MIM147553
221,MIM147562
222,MIM147564
223,MIM147565
224,MIM147566
225,MIM147567
226,MIM147568
227,MIM147569
228,MIM147570
229,MIM147577
230,MIM147578
231,MIM147579
232,MIM147580
233,MIM147582
234,MIM147583
235,MIM147584
236,MIM147640
237,MIM147650
238,MIM147660
239,MIM147700
240,MIM148000
241,MIM148020
242,MIM148030
243,MIM148040
244,MIM148041
245,MIM148042
246,MIM148043
247,MIM148059
248,MIM148060
249,MIM148065
250,MIM148066
251,MIM148067
252,MIM148069
253,MIM148070
254,MIM148080
255,MIM148180
256,MIM148190
257,MIM150390
258,MIM151290
259,MIM151600
260,MIM151660
261,MIM152200
262,MIM152700
263,MIM152760
264,MIM152780
265,MIM153243
266,MIM153390
267,MIM153800
268,MIM154020
269,MIM154030
270,MIM154790
271,MIM155601
272,MIM156240
273,MIM156535
274,MIM157129
275,MIM157130
276,MIM157132
277,MIM157300
278,MIM159000
279,MIM159001
280,MIM159553
281,MIM159555
282,MIM159950
283,MIM160995
284,MIM161400
285,MIM161555
286,MIM161565
287,MIM162060
288,MIM162400
289,MIM162500
290,MIM163910
291,MIM163920
292,MIM163980
293,MIM164008
294,MIM164013
295,MIM164230
296,MIM164950
297,MIM164980
298,MIM165120
299,MIM165190
300,MIM165260
301,MIM166710
302,MIM167000
303,MIM167320
304,MIM167405
305,MIM167800
306,MIM168450
307,MIM168461
308,MIM168600
309,MIM168601
310,MIM170400
311,MIM170650
312,MIM171300
313,MIM171885
314,MIM171890
315,MIM171891
316,MIM173410
317,MIM173445
318,MIM173490
319,MIM173511
320,MIM173515
321,MIM173870
322,MIM174760
323,MIM174761
324,MIM174762
325,MIM174763
326,MIM176000
327,MIM176290
328,MIM176300
329,MIM176310
330,MIM176311
331,MIM176312
332,MIM176400
333,MIM176410
334,MIM176730
335,MIM176760
336,MIM176797
337,MIM176807
338,MIM176871
339,MIM176880
340,MIM176892
341,MIM176893
342,MIM176894
343,MIM176895
344,MIM176910
345,MIM176911
346,MIM176912
347,MIM176920
348,MIM176941
349,MIM176943
350,MIM176960
351,MIM176970
352,MIM176975
353,MIM176977
354,MIM176980
355,MIM176982
356,MIM177000
357,MIM177061
358,MIM177070
359,MIM178500
360,MIM178620
361,MIM178630
362,MIM178635
363,MIM178640
364,MIM178642
365,MIM179755
366,MIM179800
367,MIM180071
368,MIM180072
369,MIM180073
370,MIM180200
371,MIM180201
372,MIM180300
373,MIM180660
374,MIM180661
375,MIM180662
376,MIM180663
377,MIM180664
378,MIM181000
379,MIM181031
380,MIM181500
381,MIM182000
382,MIM182099
383,MIM182450
384,MIM182451
385,MIM182452
386,MIM182453
387,MIM182454
388,MIM182455
389,MIM182940
390,MIM186711
391,MIM186770
392,MIM186855
393,MIM186980
394,MIM187040
395,MIM187950
396,MIM188470
397,MIM188540
398,MIM188550
399,MIM188830
400,MIM190181
401,MIM190182
402,MIM190300
403,MIM190685
404,MIM191070
405,MIM191161
406,MIM191163
407,MIM191170
408,MIM191190
409,MIM191191
410,MIM191305
411,MIM191315
412,MIM191316
413,MIM191317
414,MIM191318
415,MIM191321
416,MIM191330
417,MIM192315
418,MIM192500
419,MIM192600
420,MIM192605
421,MIM192977
422,MIM193400
423,MIM194070
424,MIM194072
425,MIM194470
426,MIM194540
427,MIM194541
428,MIM200100
429,MIM201300
430,MIM201910
431,MIM202010
432,MIM202110
433,MIM202700
434,MIM205100
435,MIM206100
436,MIM206800
437,MIM209850
438,MIM211600
439,MIM211980
440,MIM212050
441,MIM212112
442,MIM212140
443,MIM214100
444,MIM214700
445,MIM218000
446,MIM218700
447,MIM219080
448,MIM219700
449,MIM219750
450,MIM219800
451,MIM219900
452,MIM221750
453,MIM222100
454,MIM223900
455,MIM224100
456,MIM224120
457,MIM225250
458,MIM226670
459,MIM227300
460,MIM228600
461,MIM228960
462,MIM230800
463,MIM230900
464,MIM231000
465,MIM231005
466,MIM231300
467,MIM231670
468,MIM231680
469,MIM235700
470,MIM236000
471,MIM236200
472,MIM236270
473,MIM237310
474,MIM239000
475,MIM239200
476,MIM240500
477,MIM240800
478,MIM241850
479,MIM243300
480,MIM245349
481,MIM246300
482,MIM248190
483,MIM248250
484,MIM248611
485,MIM248900
486,MIM249100
487,MIM249500
488,MIM250790
489,MIM251000
490,MIM251850
491,MIM253600
492,MIM253601
493,MIM253700
494,MIM254110
495,MIM254210
496,MIM254450
497,MIM254770
498,MIM254900
499,MIM256300
500,MIM256370
501,MIM257200
502,MIM257220
503,MIM260300
504,MIM260540
505,MIM261600
506,MIM262600
507,MIM262700
508,MIM263300
509,MIM263700
510,MIM264300
511,MIM266100
512,MIM266200
513,MIM267300
514,MIM268210
515,MIM268220
516,MIM269700
517,MIM270420
518,MIM273750
519,MIM275100
520,MIM275355
521,MIM276000
522,MIM276600
523,MIM276700
524,MIM276710
525,MIM277440
526,MIM277460
527,MIM277480
528,MIM277900
529,MIM300034
530,MIM300055
531,MIM300070
532,MIM300083
533,MIM300084
534,MIM300089
535,MIM300093
536,MIM300102
537,MIM300110
538,MIM300120
539,MIM300123
540,MIM300133
541,MIM300143
542,MIM300172
543,MIM300178
544,MIM300190
545,MIM300192
546,MIM300206
547,MIM300210
548,MIM300220
549,MIM300243
550,MIM300248
551,MIM300275
552,MIM300277
553,MIM300299
554,MIM300306
555,MIM300317
556,MIM300329
557,MIM300334
558,MIM300335
559,MIM300349
560,MIM300353
561,MIM300354
562,MIM300358
563,MIM300361
564,MIM300367
565,MIM300374
566,MIM300377
567,MIM300387
568,MIM300392
569,MIM300411
570,MIM300419
571,MIM300423
572,MIM300425
573,MIM300434
574,MIM300436
575,MIM300437
576,MIM300443
577,MIM300456
578,MIM300486
579,MIM300491
580,MIM300495
581,MIM300496
582,MIM300498
583,MIM300522
584,MIM300534
585,MIM300542
586,MIM300558
587,MIM300576
588,MIM300577
589,MIM300594
590,MIM300595
591,MIM300597
592,MIM300598
593,MIM300599
594,MIM300601
595,MIM300620
596,MIM300625
597,MIM300626
598,MIM300630
599,MIM300638
600,MIM300644
601,MIM300646
602,MIM300659
603,MIM300673
604,MIM300674
605,MIM300676
606,MIM300684
607,MIM300685
608,MIM300699
609,MIM300701
610,MIM300705
611,MIM300706
612,MIM300716
613,MIM300720
614,MIM300725
615,MIM300726
616,MIM300734
617,MIM300735
618,MIM300736
619,MIM300747
620,MIM300749
621,MIM300751
622,MIM300752
623,MIM300753
624,MIM300799
625,MIM300802
626,MIM300803
627,MIM300827
628,MIM300834
629,MIM300835
630,MIM300838
631,MIM300844
632,MIM300847
633,MIM300848
634,MIM300849
635,MIM300850
636,MIM300851
637,MIM300852
638,MIM300853
639,MIM300854
640,MIM300857
641,MIM300859
642,MIM300860
643,MIM300868
644,MIM300873
645,MIM300879
646,MIM301310
647,MIM301500
648,MIM302045
649,MIM303630
650,MIM303631
651,MIM304800
652,MIM305660
653,MIM306480
654,MIM306900
655,MIM308050
656,MIM308990
657,MIM309541
658,MIM309548
659,MIM309549
660,MIM309583
661,MIM310200
662,MIM310468
663,MIM311030
664,MIM312040
665,MIM312820
666,MIM313900
667,MIM314250
668,MIM400025
669,MIM425000
670,MIM600001
671,MIM600003
672,MIM600007
673,MIM600010
674,MIM600044
675,MIM600051
676,MIM600073
677,MIM600116
678,MIM600126
679,MIM600127
680,MIM600128
681,MIM600129
682,MIM600144
683,MIM600160
684,MIM600164
685,MIM600167
686,MIM600169
687,MIM600178
688,MIM600182
689,MIM600194
690,MIM600206
691,MIM600214
692,MIM600222
693,MIM600227
694,MIM600232
695,MIM600233
696,MIM600315
697,MIM600320
698,MIM600387
699,MIM600410
700,MIM600431
701,MIM600439
702,MIM600448
703,MIM600456
704,MIM600473
705,MIM600483
706,MIM600497
707,MIM600512
708,MIM600513
709,MIM600524
710,MIM600534
711,MIM600539
712,MIM600574
713,MIM600591
714,MIM600630
715,MIM600646
716,MIM600700
717,MIM600742
718,MIM600745
